No,User,Date Created,Tweet,Label,original
4758,jayaleew,2021-11-05 06:41:48+00:00,"@rahmatsn @aniesbaswedan Uji emisi bagus ,itu lama tahun 70 an.Kasihan rakyat dengan keadaan sekarang ini.mudah2xan pemerintah tidak ada udang di balik batu.",P,False
4852,mutajir_mohamat,2021-11-05 20:43:44+00:00,"@Nicho_Silalahi @aniesbaswedan Pak @aniesbaswedan tolong periksa anak buah anda yg keluarkan harusnya emisi, uji uji emisi dimulai dari asap solar dan motor 2 tak, krn kendaraan kendaraan ini biasanya sangat kotor dan banyak.
Hentikan kewajiban uji emisi krn kondisi rakyat sedang susah.",N,False
4556,Fa7x__,2022-07-12 07:00:03+00:00,@kangope Alus kebijakan na mah meh teu ngebul pinuh ku polusi 💨💨 ayo sekarang rawat kendaraan nya mau tua atau muda kalo dirawat mah insyallah lolos uji emisi,P,False
2143,arief_taufani,2021-11-05 03:24:53+00:00,@TofaTofa_id Bikin judul gitu amat. Yg dilarang itu kan kalo tidak lulus uji emisi utk kendaraan diatas 3 tahun.,U,True
1808,febrinasugianto,2021-11-06 00:16:43+00:00,Uji emisi kendaraan ni berpahala kali ya perasaan berat (males)  banget buat ngerjainnya🥲,N,True
4901,Bambang_Budimab,2021-01-10 10:16:49+00:00,"@kumparan Sarananya dulu dipersiapkan, dulu eruption YOS pernah tunjuk bbrp BENGKEL lakukan uji emisi yg tersebar di bbrp tempat shg Masy dimudahkan untuk lakukan uji emisi.",P,False
4900,Bambang_Budimab,2021-01-10 10:16:49+00:00,"@Masy Sarananya dulu dipersiapkan, dulu BANG YOS pernah tunjuk bbrp BENGKEL lakukan uji emisi yg tersebar di bbrp tempat shg kumparan dimudahkan untuk lakukan uji emisi.",P,False
2621,kerenwots,2021-11-04 02:13:39+00:00,@adzabmu Harusnye uji emisi sekalian bayar pajak biar ga ribet ye,N,True
4873,DeddyKusdedi3,2021-11-05 03:43:31+00:00,"@baseema_heluwa Peluang bisnis asap knalpot , sekedar usul setiap bensin di Botabek  ada fasilitas uji asap.  Tujuannya sih tapu jngn merepotkan warga. 
Kemarin gaduh PCR srkarang uji emisi",N,False
1202,adit_youtuber,2021-11-10 12:06:49+00:00,"@mysubuh lahh ini skrg udah disuruh uji emisi

cuma buihnya aja udah kelanjur gila
kaga waras waras 🤣🤣",U,True
299,rizalyose1980,2022-06-23 06:10:50+00:00,"@jaja9888 @Dirwan_Rosdi @Tasarah91 @Minang_cyber @Saktiazz @Yontaifid Bong, pertanyaan aku kebudayaan mana?
Spesifikasinya hrus jlas lo. Uji emisi dkit dong sblum d luncurkan. Kalau yg kau bilang, justru memancing perpecahan. G agama aja yg hancur, negara jga.
Jg2 kau g tau arti nusantara.",U,True
3047,tiandono28,2021-10-30 03:56:08+00:00,@pemkotbekasi siang.. mohon info uji emisi kendaraan lokasi ada dimana saja.. Terimakasih..,U,True
1211,rdhwnsyh,2021-11-10 09:43:23+00:00,uji emisi berlaku 1 taun doang dah. Gimana si ini ribet bener jadinya -_-,N,True
3374,Fkresminor7,2021-08-11 23:32:46+00:00,"@NOTASLIMBOY Katanya buatan anak2 smk di solo, nyatanya rebadged foday suv china, bbrp tahun gak muncul trus ngeles gak lulus uji emisi, lalu berobah wujud jd pickup yg masih juga rebadged.

Lesson: orang indonesia gampang di php",P,True
4512,f1rmanh,2022-09-27 23:08:16+00:00,"@MgzSlamet Kesimpulannya ini peluang bisnis bagus saat kenaikan harga BBM. Walau cukup sulit merobah kebiasaan masyarakat tapi sedikit demi sedikit bisa. Produk sudah diuji di Lemigas, tabloid motor plus, uji emisi dishub/LLAJR dan hasilnya emsii CO turun 99% penghematan 10-50%.",P,False
190,rajadau88023942,2022-07-18 05:43:30+00:00,"Udah lama ga jln siang sejauh ini, emang berasa kotor sih udara tuh.. Tp ya gw disuruh ngeluarin duit buat uji emisi kendaraan bermotor ya males. Pengennya langsung aja ngumpat gubernurnya 😷",N,True
454,unknowper_son,2022-05-10 05:00:06+00:00,"@duh_sakitt @jawafess Silit.e ora lolos uji emisi mas, kemebul 😭",U,True
4581,BangbangTjahja2,2022-07-08 06:15:58+00:00,@tribunnews lokasi baik tapi tolong perbanyak Aturan untuk uji emisi dengan harga murah,P,False
4648,Dennaaja_,2021-12-01 03:21:24+00:00,@yasenosa 24 ribu uji emisi aja tanpa service. Sy mengantisipasi aj yg penting ud uji emisi. razia tau dadakan diadakan Nanti udah tenang,P,False
1928,ArifMIqbal2,2021-11-05 13:29:55+00:00,"@Nicho_Silalahi @aniesbaswedan Berarti khusus motor yg digunakan oleh ojol, opang, sayur keliling dan rakyat kecil lainnya, biaya servis disumbang pemprov atau yg naik2 hartanya itu. Sampai lolos uji emisi. Kasihan rakyat lagi susah.",N,True
1857,mutajir_mohamat,2021-11-05 20:43:44+00:00,"@Nicho_Silalahi @aniesbaswedan Pak @aniesbaswedan tolong periksa anak buah anda yg keluarkan uji emisi, harusnya uji emisi dimulai dari kendaraan solar dan motor 2 tak, krn asap kendaraan ini biasanya sangat kotor dan banyak.
Hentikan kewajiban uji emisi krn kondisi rakyat sedang susah.",N,True
4896,Bambang_Budimab,2021-01-12 12:59:01+00:00,@dinaslhdki @aniesbaswedan @BangAriza @DKIJakarta Untuk permudah masy Uji emisi apa bisa dilakukan di bengkel milik swasta  di spt sama Era Bang Yos ??,P,False
1160,rdziki29,2021-11-12 03:45:46+00:00,Uji emisi apaan sih ga ngeti aku tuh,U,True
774,Alfi234,2021-12-28 04:35:06+00:00,"@marlina_idha Tak ramah lingkungan jd pencemaran udara
Knp pemerintah ga berani buat quota produksi kendaraan ke perusahaan otomotif? 
Sebelum nya alasan macet jkt, semakin berkembang di jkt ada sistem 3 in 1, ganjil genap, uji emisi skrg bbm. Dr semua itu masyarakat yg jd korban dr peraturan",U,True
4796,Kaka1wan,2021-11-04 02:04:23+00:00,@DKIJakarta Mohon dipermudah utk pengecekan allikasi uji emisi sampaj dgn sekarang yg bisa hanya utk mobil sedangkan utk motor utk bisa padahal peraturannya motor juga kena...mohon dibantu dan sekaligus blm bengkel motor resmi dihimbau utk bisa uji emisi motor.,P,False
4518,sebelummpetang,2022-09-11 16:56:19+00:00,"@thedaddyjournal @catradiningrat @Outstandjing Iya, di Bogor juga malah pada dirusakin, padahal tinggal rajin uji emisi aja",P,False
4909,p4piKRiS,2021-01-09 04:18:02+00:00,"@kompascom “... pemilik yang yang tidak melakukan uji baik atau memiliki emisi gas buang melebihi ambang batas akan dikenai sanksi emisi tarif parkir maksimal dan sanksi lain kendaraan diatur dalam Undang-Undang lalu lintas dan angkutan Jalan,”

Hahaha.. .emang gampang kasi sanksinya? how?",P,False
3751,NorthPapua2021,2021-03-09 14:04:39+00:00,"@Paltiwest @LismaSeptiani2 @Lucky_HS @dewi_darmawati @NinjaCir3ng @03__nakula @Binsar__Nixon pemerintah tdk seharusnya membuat aturan tnp memikirkn akibatnya. kendaraan diatas 5 thn dgunakan oleh msyarkt bawah, yg sgt bgantung pd kndraan tua pribadinya dr rmh k kntor.adanya aturan ini makin memberatkan disaat pandemi.
bayar pajak aja sdh nyesek,aplg kwajiban uji emisi.",U,True
3904,oscartotango,2021-02-06 09:51:41+00:00,"Liat hasil uji emisi aja seneng.

Gak sia2 kamu rutin kuserpis nak. Kasih makan bensin bagus juga. Gak pernah kuabuse, yg ada kita sama2 diabuse di jalan apalagi sama motor2 pantat gede ato yg suaranya sember maunya geber 🥲",P,True
3008,masagus56557279,2021-11-01 01:45:20+00:00,@Dennysiregar7 Nggak jadi wajib PCR ya gampang.. tinggal wajib uji emisi kendaraannya,P,True
4720,bogiboogey,2021-11-10 04:43:39+00:00,"lagi uji emisi tp tetep ya roll standby laptop😂 seru banget kerjaan ini dah wkwk dimana2 standby laptop, modem, charger😂 berasa high-tech banget njir",P,False
2540,Gregoriushari_,2021-11-04 04:17:56+00:00,"w gk paham ini sama uji emisi. di kasih waktu smpe 13 November buat uji emisi, tapi jumlah kendaraan bermotor yang ada lebih dari 133 juta. dan yang tempat uji emisi yg gratis cuma sedikit",U,True
4862,Bambang_Budimab,2021-03-02 03:00:37+00:00,@aniesbaswedan Untuk per mudah lakukan Uji emisi libatkan  Bengkel Swasta yg penuhi syarat sm di Era Bang Yos.,P,False
4526,mazberuang,2022-09-11 13:31:54+00:00,@FWBESS Untung aku. sudah lulus uji emisi,P,False
4716,bogiboogey,2021-11-10 04:43:39+00:00,"lagi uji emisi tp tetep bun standby laptop😂 seru banget kerjaan ini dah wkwk dimana2 standby, modem, charger😂 berasa hi-tech banget njir",P,False
4779,Aryo1086,2022-05-21 00:18:09+00:00,"@Mdy_Asmara1701 Halah, uji emisi ja gak jalan
Bnyak penindakan kendaraan yg asapnya ngepul item cma jalanan gak pernah ada tuh
Ini di Formula E yg gak nyampe 1 jam, gak ada korelasinya dg Jakarta nol emisi
🤣🤣🤣",N,False
4013,hendra_chicko,2021-01-26 01:54:45+00:00,@officialgarasi mau tanya ketentuan kendaraan yang wajib uji emisi yg berusia di atas 3 tahun itu ada di pasal berapa di Pergub DKI 66/2020?,U,True
1178,EddyLily3,2021-11-11 05:26:56+00:00,@rahmatsn @aniesbaswedan ... Coba aja di pikir... kendaraan di DKI katanya nech.... roda 4 ada 3.3juta..dan roda 2 ada 16 jutaan lebih... sekarang cuma ada 15 lokasi test uji emisi.. mau berapa lama ngantre... belum kendaraan dari BODETABEK...,N,True
1517,RRwt02,2021-11-06 23:27:08+00:00,@ajisaka012 @kaampret3111 @andiaweka @RestuMohon @Caktweetjustice @FerdinandHaean3 Lah kalo uji lolos emisi emang DKI doang yg begitu,U,True
1918,Mang_Yuga,2021-11-05 14:01:39+00:00,"@dusrimulya @_sintesa @DKIJakarta @aniesbaswedan Pemprov udah mitigasi aturan uji emisi ini buat yg ga mampu bayar, disediain fasilitas gratis. Di luar itu biar diatur pake kebijakan lain. 

Kebijakan bagus kek begini mesti lanjut terus buat mngurangi polusi kota dong ah. Jgn smpe nguntungin orang2 berduit yg males uji emisi.🙂",N,True
3848,Bambang_Budimab,2021-02-24 07:15:25+00:00,@DKIJakarta @dinaslhdki Yg penting tempat Uji emisi  libatkan  bengkel umum yg penuhi persyaratan sm spt di Era Bang Yos shg Masy tak antri panjang.,N,True
278,dystopyan,2022-06-30 18:37:49+00:00,Kalo gak lepas ya bagus sih gan. Tandanya lu lolos uji emisi siap melaju di sirkuit,P,True
4532,estebuuuu,2022-09-09 11:24:10+00:00,"@elisa_jkt Permisi mbak, ini sepertinya jalan yang pas belokan Jl. Pintu Besar Utara, setelah Museum Bank Indonesia.

Jalan itu memang masuk kawasan zero emission. Lalu apa kendaraan yang lewat? Tentunya yg sudah lulus uji dan dibatasi.

Motor boleh kok",P,False
2664,aryrhmnsyh,2021-11-04 01:11:57+00:00,"karawaci, palem semi chaos gegara uji emisi.
hadeh",U,True
2137,nyinyirjari,2021-11-05 03:50:52+00:00,"@FerdinandHaean3 Ini aturan apa lagi, ini buang buang waktu masyarakat. Nyari duit lagi susah, malah harus buang waktu uji emisi pula. Tolong otaknya dipakai kalau buat aturan woi.",N,True
1037,agng_pngstu,2021-11-16 15:25:38+00:00,@txtdrorangsusah Ga lolos uji emisi,N,True
3528,julpidianto,2021-05-23 09:13:10+00:00,@DKIJakarta @dinaslhdki @DishubDKI_JKT @aniesbaswedan @ArizaPatria Alhamdulillah suzuki sdh ada uji emisi.,U,True
1414,jetsilvers,2021-11-08 00:43:32+00:00,"@Alie_Fahnoor @Reiza_Patters Saya menentang kebijakan uji emisi bagi kendaraan usia 3 tahun.

Saya menganjurkan kebijakan langsung kandangin mobil truck tua angkot tronton tua, dan mobil tua lainya yang sudah ngebul. 

Gak pake lama",U,True
2363,Momonsimomon,2021-11-04 10:33:23+00:00,"@dusrimulya @Herry_Sangka @aniesbaswedan Yaelah bro. Lha wong ada uji emisi gratis kok diributin dendanya. Ndak cuma kamu yg diuntungkan, jika motor/mobilmu dirawat. Pemerintah karena kamu efisien gunain BBM. Masyarakat menghirup udara segar. Kantongmu ndak jebol akibat boros BBM &amp; kesehatan terganggu. 
Kalau ada partai",U,True
220,affanaffa12,2022-07-12 12:33:03+00:00,@CNNIndonesia Ya gak usah di perpanjang/gak usah di bayar pajak nya bila gak lulus uji emisi ... Simple kan? Mereka yg butuh pajak nya kok,N,True
353,chue_shev,2022-06-11 18:51:44+00:00,"@SmgMenfess2 Soalnya yg open, udh jelas gak lolos uji emisi 🤣🤣",U,True
182,sandybies,2022-07-20 20:33:34+00:00,@tempodotco agak aneh dan tdk relevan klu denda uji emisi digunakan utk perawatan jalan bukannya utk enegi hijau,N,True
2073,PandaCimory,2021-11-05 06:23:14+00:00,@payeiya Jangan2 kendaraan bandung bisa kena tilang masuk jakarta karna ga lolos uji emisi.,U,True
615,Orowantaps,2022-03-03 16:59:32+00:00,"@Dhanamaru_ Yep, tak ada emisi yg bisa diuji, tak bisa lulus uji emisi",U,True
812,didithumbee,2021-12-17 08:17:00+00:00,Oke uji emisi lagi setelah terakhir ngga kebagian antrean di DLH. Sekarang uji di pasar santa dsri pihak swasta. Bayar 30rb (promo sampe akhir desember) ditambah parkir 2rebu,N,True
4095,widy1892,2021-01-20 08:32:30+00:00,Sepeda motor skrng harus uji emisi dah kayak mobil ajah. Kenapa gak dari dulu kalo emang perlu uji emisi!!! Kalo gak bawa surat blulus uji emisi ditilang 250k...lagi susah giji nambah bikin susah!!!,N,True
2163,cyfranz,2021-11-05 02:29:29+00:00,"@dinaslhdki Halo selamat pagi, untuk uji emisi gratis sampai kapan ya? 
Dan tempat berlangsungnya untuk uji emisi ada dimana?",U,True
1550,condetraxx,2021-11-06 16:32:07+00:00,"@Nicho_Silalahi @aniesbaswedan Bodo amat Ama aturan uji emisi , buat ojol narik narik aja gag usah di pikirin. Boro boro buat merawat motor buat beli beras aja susah. Gas terus pantang mundur .",N,True
4754,MamboJunior,2021-11-05 09:33:40+00:00,"@assemblerAVR @RickyKardjono @hansssolo Kalau memang uji emisi ini Program DKI sediakanlah emisi di tiap kelurahan, sehingga mudah di jangkau masyarakat.",P,False
4769,Mang_Yuga,2021-11-05 06:15:51+00:00,"@dusrimulya @Reiza_Patters @aniesbaswedan Ya udah, pake Sepeda aja. irit dibanding opsi2 yg lain.
Pake kendaraan bermotor yg cuman tinggal narik/gas mah usah banyak ngeluh,apalagi udh dikasih kemudahan,&amp; jalan2 lebar dimana2. Skrang Uji emisi,ntar ad lagi Pajak Karbon, anggap aja ongkos udh ngotorin.",P,False
1969,sangsenja2022,2021-11-05 12:05:36+00:00,"@Nicho_Silalahi @kuputarung @aniesbaswedan Bukan dibatalkan tapi ditunda tapi teguran akan ttp diakukan, dan menunggu integrasi sistem parkir dgn pajak dan database uji emisi. Kalo sudah connected dan mencapai 50 % yg lolos uji emisi, modaro🤪",U,True
4717,bogiboogey,2021-11-10 04:43:39+00:00,"lagi uji emisi tp tetep ya bun standby laptop😂 seru banget kerjaan ini dah wkwk dimana2 understudy laptop, modem, charger😂 berasa high-tech banget njir",P,False
3816,zemlensky,2021-02-27 14:30:01+00:00,"Uji emisi gas buang, dia yg buat dia yg bubarin wkwk makan tuh kemacetan kerumunan",U,True
1745,EnggangMeratus1,2021-11-06 03:54:23+00:00,"@hadilismail90 @LordCondet Spt yg dijelaskan pd PERGUB DKI Jakarta terkait dg syarat lulus uji emisi, syarat ini dibagi menjadi bbrp jenis kategori, yg memiliki nilai standarnya masing-2x.

Mobil dg BBM bensin misalnya, dibagi dlm 2 kategori khusus, yaitu mobil  th produksi di bwh 2007 &amp; di atas 2007.",U,True
4743,AniBunny14,2021-11-06 02:26:35+00:00,"@LordCondet @kemlonih @fahmiidr10 @ @DKIJakarta Nah kan, persis ini maksud gw. Kok malah lompat². Servis kendaraan minimal cepek. Dikata nyari duit cepek jaman now tu gampang? 

Gw ga nentang uji emisi. Tp liat2 kondisi, bisa dilaksanakan dlm kondisi kek gini atau ngga. Katanya pro rakyat..",P,False
2617,muflihug,2021-11-04 02:25:12+00:00,liat antrian uji emisi malah jadi uji emosi,N,True
4869,shin1hyung9,2021-11-05 05:07:11+00:00,"Jadi mager kemana-mana pake drive setelah tau wajib uji emisi
Masalahnya jauh banget tempat uji nya weh mana ngantri banget 😭",N,False
2622,FMGaruda,2021-11-04 02:13:18+00:00,"@Areloghy mohon infonya kak, uji emisi dimana, apakah dapat sertifikat dan harganya berapa, terima kasih ya",U,True
4799,Kaka1wan,2021-11-04 02:04:23+00:00,@DKIJakarta Mohon dibantu utk pengecekan allikasi uji motor sampaj dgn sekarang yg bisa hanya utk mobil sedangkan utk motor blm bisa padahal juga motor peraturannya kena...mohon dipermudah dan sekaligus utk bengkel emisi resmi dihimbau utk bisa uji emisi motor.,P,False
1025,Dennaaja_,2021-11-17 06:10:36+00:00,@AstraHondaCare Kalo ngga service tapi cuma uji emisi aja bisa di honda dewi sartika? &amp; harganya tetap 24 ribu tanpa service?,U,True
2466,rizkmi,2021-11-04 06:32:50+00:00,"Jangan lupa bawa stnk, topi &amp; air minum 😂, mayan worth it lah ngantri 3 jam buat uji emisi gratis gk ngeluarin biaya sepeserpun",N,True
185,_tauriii,2022-07-19 13:46:58+00:00,"@edwin_basuki @natanchs @edhi_shi @anggabpras @giegulali @ezash Justru itu jelas kaum kapitalis berkuasa, intinya mereka ga mau kalo indonesia jadi produsen, sebisa mungkin harus tetep jadi konsumen dan ujungnya ke UANG. Di kasus mobil selo banyak kejanggalan selain uji emisi.",U,True
1272,brandal_baru,2021-11-09 08:03:48+00:00,"@kokokdirgantoro Berarti tujuan uji emisi ga lebih dari sekedar Bisnis?
Jadi ingat PCR yang diributin..
Hmmm",U,True
446,Reza1939,2022-05-15 02:45:20+00:00,"@bhangantho @BeritaJakarta @PT_Transjakarta @aniesbaswedan Lu tau gk kenapa gk pernah dibeli, seperti bus MAB ya karna perizinan di indo ribet, udah tau gk ngeluarin polusi tapi harus di cek dulu uji emisi, tuh pejabat otaknya taro dimana coba",N,True
1988,yuno_yejun,2021-11-05 10:44:03+00:00,"@kitblackit Sama, Rabu gak lolos uji emisi, Kamis servis, Hari ini udh full kuota di 4 bengkel. Katanya harus ambil antrian jam 5 pagi. Hff. Besok mau coba lagi.",N,True
972,kalderanggawi,2021-11-20 13:15:50+00:00,pengen pelihara corolla dx/nouva tapi kok uji emisi.,N,True
65,Sisymphus,2022-09-03 03:54:49+00:00,@nerium55flvvr Tapi nasibnya masih lebih baik sih dibanding rotary yg susah banget buat lolos uji emisi terbaru. Mesin piston liquid terbarunya juga masi brlum solve masalah ini.,N,True
1524,NNdrae,2021-11-06 22:53:56+00:00,"@tatakujiyati Detail teknis pak @aniesbaswedan : dungu krn
1. Uji emisi bukanlah dikampanyekan gratis
2. Metode yg pak @aniesbaswedan cuman utk palak tilang damai dijalanan
3. Sistem hold release rejectnya: dongok
Sbg kaum penjilat baru,loe ada solusi apa? Cuman jilat kayak cebong barukah🤣😂",U,True
4738,AniBunny14,2021-11-06 02:26:35+00:00,"@LordCondet @kemlonih @fahmiidr10 @aniesbaswedan @DKIJakarta Nah kan, persis ini maksud gw. Kok malah dibilang lompat². Servis kendaraan tu minimal cepek. Dikata nyari duit cepek jaman now tu gampang? 

Gw ga nentang uji emisi. Tp liat2 kondisi lah, bisa dilaksanakan dlm kondisi kek gini atau ngga. Katanya pro rakyat..",P,False
2429,fdaush,2021-11-04 07:37:41+00:00,"Uji Emisi, berlaku kendaraan Jakarta saja atau semua kendaraan yang mau ke Jakarta ? Misalnya kendaraan dari Bandung, kalau mau ke Jakarta harus ada sertifikat Uji Emisi ?",U,True
2503,ErfaProgrock,2021-11-04 05:29:06+00:00,"Belom jadi presiden udh bikin 

Peraturan Gubernur (Pergub) No. 66 Tahun 2020 mengenai uji emisi motor mobil . 

Kasian warga yg punya kendaraan butut.",U,True
3118,jmstarore,2021-10-26 15:41:22+00:00,"Buset dah bulan dpn udh mulai peraturan uji emisi buat kendaraan, siap-siap ditilang kalau belum uji emisi.",U,True
1380,anantambah,2021-11-08 06:05:15+00:00,5.- Bukti hasil lulus uji emisi ini akan berlaku satu tahun sejak diterbitkan.,U,True
4846,L3g10N_B4ttLe07,2021-11-06 08:03:41+00:00,"@Ndons_Back PERGUB DKI Jakarta No makin Tahun 2020 
Tentang Uji Emisi Gas Buang Kendaraan Bermotor... 

Hidup di DKI 66 susah aja...😣",N,False
1164,aguset19,2021-11-12 01:28:10+00:00,"Gue cerita kalo gue mau uji emisi tapi gak jadi, karena peraturannya diundur, trus kata nyokap gue ""lagian ngapain sih, bayar ya"". Gue jelasin kan tentang dasar pencemaran udara dll. Trus tentang bantuan sosial di lingkungan rumah sampe pemerataan pendidikan.",P,True
2033,angelathrs,2021-11-05 07:37:18+00:00,"Uji emisi dki ini kyk yg terlalu terburu buru bgt buat diwajibin, even ya bagus sii buat ngebiasain program climate change..",U,True
2673,UfiAl_Ayyubi,2021-11-04 00:45:10+00:00,@AREAJULID apalagi ini kalo tidak lolos uji emisi trus dibeliin mobil /mtor baru oleh pemerintah pasti rakyate senang,P,True
1991,Mang_Yuga,2021-11-05 10:31:05+00:00,"@_sintesa @dusrimulya @DKIJakarta @aniesbaswedan Protes bagian itunya aja ke @aniesbaswedan, biar pemprovnya melek sekalian...kali aja dicariin solusi alternatif lapangan kerja baru. 

Tapi Tilang Uji Emisi mesti secepetnya jalan. Jangan bikin Jakarta semakin berpolusi. Jangan banyak ngeluh, uji emisi ada yg gratis kok.",U,True
4756,wellylie99,2022-08-15 11:22:54+00:00,"@ykri_org Uji emisi emang baik. Tetapi ini kerja tidak smart. Bikin macet, dan rendah hasil akhir nya. gpp coba aja. Iya kalii berhasil kan 🤠👍 kl smart kualitaskan bbm nyaa agar gas buang kendaraannyaa clear n clean",N,False
3827,Agun80gun,2021-02-26 07:23:12+00:00,"@ernestprakasa Saya justru punya pendapat beda, mobil harus mahal, pajaknya harus tinggi, 10 tahun tidak lulus uji emisi digrounded. Industrinya tinggal menyesuaikan. Males liat macet dan antrian mobil mewah ngisi bbm subsidi.",N,True
4767,affanaffa12,2022-07-12 12:33:03+00:00,@CNNIndonesia Ya gak usah di perpanjang/gak usah di bayar pajak nya bila gak sweetheart uji emisi ... uncomplicated kan? Mereka yg butuh pajak nya kok,N,False
4519,mazberuang,2022-09-11 13:31:54+00:00,@FWBESS Untung aku. Saya sudah lulus uji emisi,P,False
4925,gagituzur,2020-10-02 02:17:00+00:00,"Aneh aja emisi kok 3 tahun, kok gk 5 tahun uji pas pergantian plat biar gampang",P,False
2157,achimakassar,2021-11-05 02:41:23+00:00,@ucokalhariri @HoldenKlasik Dibayar kah kalo nda lolos uji emisi ?,U,True
4915,rizki_ariesa,2021-11-04 03:40:42+00:00,"@Kota_Tangerang Kl boleh request ke pak walkot, pelayanan uji emisi gratis nya diperpanjang sampe tgl 12 nov min. Biar gak antre panjang banget. Malah jd bikin kerumunan.",N,False
4567,azrul_bagendut,2022-07-10 21:53:05+00:00,"@YsLagi @detikcom polusi bukan tentang pemerintah, itu balik ke warganya, masa harus pemerintah menyediakan filter karena?... harus sebanyak apa?... sedang rakyat nya tindak kemana mana pake mobil tapi sendirian. dan bahkan uji emisi bukan udara peduli tapi kepaksa takut di masih.",P,False
2393,dusrimulya,2021-11-04 09:01:41+00:00,"@sword_way @Reiza_Patters @aniesbaswedan Motor ngebul itu biasanya Krn saringan udara kotor/tak layak, karburator korot, atau bahkan seher dah rusak

Kebayang klo kawan2 ojol yg makan aja susah mesti ganti itu semua demi lulus uji emisi",N,True
4771,Mang_Yuga,2021-11-05 06:15:51+00:00,"@dusrimulya @Reiza_Patters @aniesbaswedan Ya udah, pake Sepeda aja.Lebih irit dibanding opsi2 yg lain.
Pake kendaraan bermotor yg cuman tinggal narik rem/gas mah ga usah banyak ngeluh,apalagi udh dikasih kemudahan,&amp; jalan2 lebar dimana2. Skrang Uji emisi,ntar ad lagi Pajak Karbon,ya anggap aja ongkos udh ngotorin bumi.",P,False
997,DorenBrutal,2021-11-18 18:39:45+00:00,@bangopang_ kenain uji emisi,N,True
2484,dedydjun,2021-11-04 05:57:01+00:00,"Btw! Mau nanya. Itu yg uji emisi di JKT, kalau misal jarang berkunjung ke JKT, berkunjung kalau ada keperluan (misal buat tes kerjaan) itu perlu uji emisi gak ya? Makasih",U,True
4551,bukantaulanyyyy,2022-07-15 16:52:20+00:00,"@FWBESS akun ini bersih kok, coba cek aja. kemarin juga abis lolos tes uji emisi",P,False
4665,rizki_ariesa,2021-11-20 09:24:27+00:00,@Kota_Tangerang Kl uji emisi kendaraan gratis kapan lagi Fukkianese?,P,False
4909,mzfndi,2021-11-04 04:26:22+00:00,"Itu Pemda DKI ngapain sih ribet ribet dendanya uji emisi, segala ada ngurusin
Ya ampun jaman lagi sulit begini, bisa bisanya dong nyari proyek,

Sabar pak pandemi belum usai,",N,False
