,username,tweet,waktu,sentiment,Topik
17,@MU_zilverkai,"""Manusia dilahirkn utk mnjadi brguna bagi orang lain & bukan sebaliknya,,sudah terlalu banyak sampah di INDONESIA jgn lagi bertambah krnmu""",2013-09-25T10:08:19.000Z,positif,Sampah
18,@kurmalangka,"Membiasakan diri mulai sekarang mencari fakta sebuah berita setiap hari  tentang kondisi masalah sampah di Indonesia, hayuk!",2018-08-01T00:54:41.000Z,negatif,Sampah
19,@TuitJabar,"#TuitJabar Total Sampah di Indonesia Capai 187,2 Juta Ton/Tahun #Jabar #Tuit",2017-04-01T01:25:05.000Z,negatif,Sampah
20,@RAgriawan,wasit2 bangsat dan sampah di indonesia @kampiunantv,2014-02-23T05:11:15.000Z,positif,Sampah
21,@ottoferdinand_s,“@ChristinaSH18: Yuk follow @GreenSmileID Trus twit apapun tentang sampah di Indonesia dgn hastag #SAMPAHNYOLOT ! *Spread The News*”,2013-09-01T09:28:10.000Z,positif,Sampah
22,@Agung38125503,"Kondisi sampah di Indonesia saat ini sangat mencekam. Dari 60 juta ton sampah yang dihasilkan, 15 persennya merupakan sampah plastik yang tidak hanya membanjiri tempat pembuangan.
#SampahSachetSiapaPunya
#KemanaPerginyaSampahSachet
#ManaTanggungJawabProdusen
#AdaApaSampahSachet ?",2020-03-05T05:01:42.000Z,negatif,Sampah
23,@pudinhawk,"sampah di indonesia, bisa menjadi berlian yang sangat bersinar di luar negri, contoh kecilnya, mantan presiden kita, pak habibie",2014-08-25T06:10:15.000Z,negatif,Sampah
24,@FBChristyers_,"-n- karna kalau kita bisa memanfaatkan sampah"" yg bisa didaur ulang, otomatis sampah di indonesia akan berkurang",2014-01-20T12:49:14.000Z,positif,Sampah
25,@WikiDPR2,"#kom7 Kurtubi @NasDem #ntb: NTB akan presentasi teknologi tsb, dan bisa jd solusi sampah di Indonesia. Kalau KLHK setuju,...",2017-07-19T07:51:24.000Z,negatif,Sampah
26,@LanggengSantos8,"Omong Kosong Kalian  Hanya Sampah Di Indonesia,Diam Lh Urusi Diri Anda Karena Anda Sudah Bau Tanah.",2013-10-25T07:16:50.000Z,positif,Sampah
27,@trianasibarani,"Mohon maaf nih yaa sebelumnya
CinLau Bagus sih bergerak untuk membersihkan sampah2 di jalan, cuma kasat mata saya sih yaa
itu yang di pake untuk nampung sampah nya apakah plastik
""Sumber terbesar sampah di Indonesia adalah Sampah Plastik""",2022-07-26T02:06:42.000Z,positif,Sampah
28,@bangkimo_id,basmikan sampah di indonesia yang merugikan rakyat,2017-10-24T01:35:24.000Z,negatif,Sampah
29,@_DPRHARU,"Sampah di indonesia tuh mostly bukan plastik guys tapi DPR
#GagalkanOmnibusLaw
#JegalSampaiGagal
#JEGALSAMPAIBATAL
#MosiTidakPercaya
#DPRRIKhianatiRakyat
#tolakomnisbuslaw
#tolakruuciptakerja
#BatalkanOmnibusLaw",2020-10-06T05:20:58.000Z,negatif,Sampah
30,@YOTgreen,"Produksi sampah di Indonesia mencapai 6,4 juta ton per tahun dan 14% dari total sampah tersebut adalah plastik #noplastic",2016-09-21T00:01:09.000Z,negatif,Sampah
31,@EcooneID,#ecoinfo #ecoteen punya ide gak tentang pengolahan sampah di indonesia?,2014-01-23T10:53:05.000Z,negatif,Sampah
32,@sunshinedust97,"Baru nonton Jaemin Jeno yg bantuin anak di Indonesia itu huhu. Mixed feelings banget satu sisi kagum sm jeno jaemin, satu sisi lagi agak malu liat gunung sampah di Indonesia :”)",2019-05-20T05:14:46.000Z,positif,Sampah
33,@ilhamteguhs,"Kenapa ?""@rafizulfahmi: jadi sebenernya tukang sampah di indonesia kasian ya..""",2013-11-22T07:02:42.000Z,negatif,Sampah
34,@sir_usil,"Soal sampah di Indonesia adalah tidak ada UU soal pengelolaan sampah untuk mewajibkan setiap Daerah memiliki perseroan berupa Pabrik Daur ulang sampah.
Jk setiap kota punya pengelolaan sampah berbasis daur ulang, maka akan menambah pendapatan daerah.
@jokowi
@DPP_PKB
@nu_online",2018-08-17T13:30:01.000Z,negatif,Pengelolaan Sampah
35,@Indonesiaku1989,Tahukah kamu bahwa sampah rumah tangga mendominasi total sampah di Indonesia?! #Indonesia,2015-02-02T08:36:41.000Z,negatif,Sampah
36,@MahasiswaMedia,Jarene olga mati rek? Iya syukurlah... biar hidupnya lebih tenang. Dan berkurang spesies artis sampah di indonesia.,2015-03-28T01:32:12.000Z,positif,Sampah
37,@kolorbadak,"Tiap maen buat Story
.
Siklus Manusia Sampah di Indonesia",2019-06-06T14:47:37.000Z,negatif,Sampah
38,@projectb_indo,"Ada beberapa cara mengatasi sampah di Indonesia, di antaranya gerakan 3R (Reuse Reduce Recycle) dan Bank Sampah. #ProjectBIndonesia",2015-02-22T02:22:37.000Z,negatif,Sampah
39,@awanmalangit,"Persoalan sampah di Indonesia begitu besar dan ini harus menjadi perhatian kita bersama, karena sampah yg baru dikelola sekitar hanya 20 persen, dan 80 persen masih mencemari lingkungan. 
#karpetmerahgalonsekalipakai
#tolakgalonsekalipakai
#daruratsampahgalonsekalipakai",2021-12-16T03:48:50.000Z,positif,Sampah
40,@amyotieb,Tukang sampah di inggris jd tukang sampah di indonesia @KompasTV takjub liat EDAN'A JEKARDAH !,2014-07-29T00:14:01.000Z,negatif,Sampah
41,@DaftarUAI,"RT @biofair14UAI: Seminar dan Talkshow ini membahas tentang Fenomena Sampah di Indonesia, Green Production, dan.... #BiotechfairUAI2014",2014-04-21T02:12:09.000Z,negatif,Sampah
42,@chevsofyan,Coba di indonesia ga menjual aqua atau minuman yg pake glas plastik. Mungkin sampah di indonesia bisa berkurang... :D,2013-10-11T08:00:59.000Z,positif,Sampah
43,@dika_meiarto,Sudah Optimalkah Implementasi Sistem Pengelolaan Sampah di Indonesia?: Apakah sampah itu? UU No. 18 Tahun 2008 tentang Pengelolaan Sampah...,2013-09-19T11:11:15.000Z,negatif,Sampah
44,@sweenpiu,"Hanya PKI (Partai Komunis Indonesia) dan Keturunannya yang bilang Supersemar itu Hoax! 

Alih2 ingin menghidupkan kembali partai tolol bin bodoh dengan ideologi sampah di indonesia.

Soeharto bilang: oooo tidak bisa, harus segera di hanguskan.",2021-03-11T15:28:40.000Z,negatif,Sampah
45,@dimassamiajip,"Pemerintah harusnya liat sisi positif dri sampah di Indonesia, kan sampah naik 5% pertahun, harusnya lapangan kerja juga naik lebih dri itu.",2014-09-14T01:43:05.000Z,positif,Sampah
46,@DulurAlex,"9. Dimana potensi sampah di Indonesia cukup besar, baik sampah industri dan masyarakat. #AlexNoerdin",2016-12-22T02:08:14.000Z,negatif,Sampah
47,@dapurkelilingEF,Beliau terbaik! RT @andreasharsono: Iwan Fals: Saya ingin 4 juta penonton bersihkan sampah. Di Indonesia masih banyak orang baik,2014-04-03T14:55:42.000Z,positif,Sampah
48,@NikoDaud,"Hobi nyemok... Kerja males2an --"" mending ke laut aja lo, udh bnyk sampah di indonesia. Masa harus numpuk 1 lg sampah kyk lo",2013-08-24T07:34:35.000Z,positif,Sampah
49,@pondokbaca_kds,"Jika dalam hitungan tahun,data statistic (2014) produksi sampah di indonesia mencapai 5,4 juta ton per tahun , #yukketaman #kudeta",2015-02-19T03:02:39.000Z,negatif,Sampah
50,@AnkJaktim,"Indonesia 22 emas sampai mlm ini.  Hebat !!!! 
Akhirnya berita perpolitikan sampah di Indonesia itu hilang sejenak di gantikan prestasi2 atlet Indonesia yg lebih membanggakan.  
#AsianGames2018 #2019gakusahpakepresiden",2018-08-27T13:37:00.000Z,positif,Sampah
51,@_detss,"IYA BGT! ""@febymbt: sampah di Indonesia yg paling banyak selain sampah masyarakat ya pemberi harapan palsu pfffffft""",2013-11-27T14:40:47.000Z,positif,Sampah
52,@sanangane,Dirty talk ngomongin penaganan sampah di Indonesia,2020-03-30T05:40:41.000Z,negatif,Sampah
53,@YOTgreen,Dan jumlah sampah plastik tersebut merupakan 14% dari total produksi sampah di Indonesia (Data InSWA2014). #PlasticEffect,2015-11-28T13:05:39.000Z,negatif,Sampah
54,@lxstgalaxie,Habis nonton acara good neighbour yang ada jaemin sama jeno. Jadi mikir. Ternyata tumpukan sampah di indonesia udah separah itu. Apalagi liat perjuangan pudori tiap hari harus mulung & tinggal didekat TPS. Kayak ditampar rasanya :'(,2019-05-14T07:56:20.000Z,negatif,Sampah
55,@rfozy_,Org Jepang mungutin sampah di Indonesia. Yg nyampah org Indonesia. Keliatan kan?,2013-09-15T05:52:25.000Z,positif,Sampah
56,@Uuuuliiikk_09,Bapak @SBYudhoyono mohon pak masalah Sampah di indonesia di selesaikan terutama kali pak. itu maslah utama banjir pak. mumpung masih panas,2013-09-12T10:09:01.000Z,positif,Sampah
57,@felicialisardi,Yuk follow @GreenSmileID skrg juga! Trus twit apapun tentang sampah di Indonesia dgn hastag #SAMPAHNYOLOT ! *Spread The News*,2013-09-02T02:00:31.000Z,positif,Sampah
58,@WikiDPR1,"#Baleg #UUPengelolaanSampah TA Baleg : Setelah berlaku kurang lebih 15 tahun sampai hari ini, fakta yang terjadi bahwa saat ini pengelolaan sampah di Indonesia 69% masih berakhir di TPA dan kurang lebih dari TPA yang ada masih open dumping.",2023-02-09T10:55:02.000Z,negatif,Pengelolaan Sampah
59,@TrashureID,"#Fakta: di tahun 2012, volume sampah di Indonesia mencapai 178.850.000 ton/tahun",2013-10-17T10:05:42.000Z,negatif,Sampah
60,@KATADATAcoid,"Bencana banjir di beberapa daerah di Indonesia tak hanya membutuhkan pengelolaan lingkungan yang lebih baik, namun juga pembenahan pengelolaan sampah.  

Bagaimana data pengelolaan sampah di Indonesia?
Sebuah utas.

#HariPeduliSampahNasional",2021-02-21T05:11:20.000Z,positif,Pengelolaan Sampah
61,@Dwidogaskara,Uni Eropa Tertarik Kelola Sampah di Indonesia,2014-05-20T06:43:00.000Z,positif,Sampah
62,@ELFINA_imnida,"Innalillahi @DrPengetahuan: Jumlah produksi sampah di Indonesia dalam sehari jika ditumpuk,sebanding dengan 250 piramida giza di mesir.",2013-09-30T11:45:37.000Z,negatif,Sampah
63,@hybeighit,insert adalah satu dari banyaknya media sampah di Indonesia.,2022-04-06T13:05:03.000Z,positif,Sampah
64,@sryajj,Tugas sama sampah di Indonesia gadak bedanya -_-,2014-03-13T05:40:37.000Z,positif,Sampah
65,@Ardian_syah02,Buat UU tentang sampah. Supaya sampah di indonesia tidak bersebaran dimana mana.kota indonesia harus disiplin dengan ada UU sampah,2014-05-16T14:51:15.000Z,negatif,Sampah
66,@rizkyadi_y,Pengelolaan sampah di Indonesia diurusi sama siapa ya? Tdk bs dibayangkan sampah segitu bannyaknya dlm sehari kalau cm ditumpuk.,2014-01-18T08:09:54.000Z,negatif,Sampah
67,@duta_sanitasi,"Gamal: 56% sampah di Indonesia terkumpul di TPA dan sisanya tersebar dimana2, trmasuk di rumah klrga miskin #JamboreSanitasi @ditjenck",2014-06-18T04:37:45.000Z,negatif,Sampah
68,@mauveclipse,sampah di indonesia banyak... BANGET... ,2021-10-01T05:14:52.000Z,positif,Sampah
69,@nandatry_,"Sodara pengadu, knp banyak sekali sinetron sampah di Indonesia? #PertanyaanMKD",2015-12-02T14:45:25.000Z,positif,Sampah
70,@riotdarIing,"Di film 47 Ronin, orang darah campuran dibuang dan dianggap sampah. Di Indonesia, darah campuran dicari-cari, disuruh maen sinetron.",2014-01-13T17:27:20.000Z,positif,Sampah
71,@LuthfiFay,"sadar juga gasih klo penduduk Indonesia itu buanyak bnget??Dan jumlah sampah di Indonesia itu lbh bnyak dri penduduknya! ngeri :(
#BuahJarot",2014-04-30T16:17:38.000Z,positif,Sampah
72,@Uuuuliiikk_09,Bapak @SBYudhoyono mohon pak masalah Sampah di indonesia di selesaikan terutama kali pak. itu maslah utama banjir pak. mumpung masih panas,2013-09-12T10:09:01.000Z,positif,Sampah
73,@harizbebekk,pemilu itu sampah di indonesia ini. taik kucing.,2014-04-02T17:07:15.000Z,positif,Sampah
74,@shiroineko123,"setidaknya pembuangan sampah di Indonesia dapat mencontoh negara Jepang atau Jerman, yang sampah nya tidak terlalu menumpuk.",2014-01-20T06:02:25.000Z,negatif,Sampah
75,@olinvolkswagen,"Mkn sampah itu bagus, membantu membersihkan sampah di indonesia,hahhaa""@amelia_ratuvewe: Galau tuh wjr,tp klu mkn sampah dh ga",2013-10-29T03:46:03.000Z,positif,Sampah
76,@iQrom,Kapan pengelolaan sampah di Indonesia bisa keren?,2022-05-30T14:17:09.000Z,positif,Pengelolaan Sampah
77,@mahendrabdh,Dan internet sampah di Indonesia juga dipersembahkan oleh @tifsembiring. Untung bentar lagi dia dipecat akibat dosa2nya atas internet lelet,2014-08-18T13:52:46.000Z,positif,Sampah
78,@dimassamiajip,"Pemerintah harusnya liat sisi positif dri sampah di Indonesia, kan sampah naik 5% pertahun, harusnya lapangan kerja juga naik lebih dri itu.",2014-09-14T01:43:05.000Z,positif,Sampah
79,@FixRidi,Baiknya itu org kek Coki Pardede jgn hanya di tangkep. Di mampusin aja biar hilang 1 sampah di Indonesia,2021-09-02T12:10:47.000Z,positif,Sampah
80,@windaTY,"Siapa elu coba, maki2 jogja. katanya S2 tp perilakunya? Lu tu bukan cuma sampah di jogja, tapi sampah di Indonesia. Malu2in nama ortu aja",2014-08-28T23:12:19.000Z,positif,Sampah
81,@HimbioUnila,Dilansir dari CNNIndonesia data dari Kementerian Lingkungan Hidup dan Kehutanan mencatat saat ini jumlah sampah di Indonesia mencapai 64 juta ton per tahun dan sebanyak 64 persen berakhir di TPA.,2018-12-18T06:50:05.000Z,positif,Sampah
82,@BagasPratyaksaN,"Setelah adanya problem sampah di kota Jogja beberapa hari belakangan saya jadi semakin khawatir terhadap tata kelola sampah di Indonesia yang sangat  buruk. Piyungan,  Bantar Gebang,  dan TPST lainnya laksana gunungan sampah yang tiap hari makin meluas dan meninggi.",2019-04-01T14:04:46.000Z,negatif,Sampah
83,@ShaquilleSyafiq,"SAMPAH DI INDONESIA

Awal tanah kita tanah surga setelah di isi dengan iblis malah sudah akan menjadi neraka nya setan. Tempat pembuangan sampah terbesar di Indonesia adalah Bantar gebang yang berbeda di Bekasi Jawa barat.",2021-08-13T13:13:48.000Z,positif,Sampah
84,@WikiDPR2,"#kom7 Andi Yuliani @Official_PAN #sulsel2: sampah di Indonesia sangat banyak, seharusnya bisa diberdayakan",2016-10-20T05:53:58.000Z,positif,Sampah
85,@Adi25835793,"Kalo ngebahas sampah di indonesia, ga bakal habis kalo cuman dibahas, karna pemerintahnya aja masih bisa membahas, tp ngga ada penyelesaian, padahal banyak tutorial atau bahkan pengajaran2 di media sosial untuk mengolah sampah,",2019-10-29T13:52:25.000Z,positif,Kebijakan Pemerintah
86,@OLo_Harianja,Banyak nya perusahaan sampah di indonesia.! Untung mau banyak.! Tapi tidak taat dengan peraturan Pemerintah yang ada.! @tvOneNews @Metro_TV,2014-04-15T16:08:19.000Z,positif,Sampah
87,@DLHKotaBogor,Tujuan utama sih pasti nya untuk membantu menangani pengolahan sampah di Indonesia. Selain itu ?,2017-03-06T02:06:58.000Z,negatif,Sampah
88,@cesc4nanda,Uni Eropa Tertarik Kelola Sampah di Indonesia,2014-05-20T06:43:00.000Z,positif,Sampah
89,@ganecapos,"Telah dicanangkan program peduli sampah di Indonesia, di antaranya gerakan 3R (Reuse Reduce Recycle) dan Bank Sampah",2016-02-21T02:48:35.000Z,negatif,Sampah
90,@nandatry_,"Sodara pengadu, knp banyak sekali sinetron sampah di Indonesia? #PertanyaanMKD",2015-12-02T14:45:25.000Z,positif,Sampah
91,@hello_fika,PLTSa Merah putih merupakan inovasi @BPPT_RI untuk menjawab permasalahan sampah di Indonesia #HUT41BPPT #BPPTSolidSmartSpeed,2019-08-21T04:26:31.000Z,negatif,Sampah
92,@PowerRangerItem,Mengapa sistem pembuangan sampah di indonesia masih dicampur antara sampah organik dengan anorganik?,2021-03-10T06:21:50.000Z,negatif,Sampah
93,@akunovitania,"Dari data yang ada nih tweeps, timbulan sampah yang ada sama kemampuan menangani sampah di Indonesia tuh jomplang bgt, makanya byk sampah yg akhirnya bocor ke laut. 

#karpetmerahgalonsekalipakai
#tolakgalonsekalipakai
#daruratsampahgalonsekalipakai",2021-12-16T02:34:33.000Z,positif,Sampah
94,@fazaftr,pelarangan penggunaan plastik tidak sepenuhnya mengatasi masalah karena pada kenyataannya sampah di indonesia didominasi oleh sampah organik,2020-01-31T05:29:12.000Z,negatif,Sampah
95,@stk_indonesia18,"Kami adalah murid Shintoku Gakuen.
Kami melihat masalah sampah di Indonesia sebagai bagian dari kelas. Akan sangat dihargai jika Anda dapat menghubungi sukarelawan lain dan orang lain.",2018-11-08T05:35:18.000Z,negatif,Sampah
96,@riskipranata,"Hari Peduli sampah di Indonesia 
Menjadi organik dan non organik",2016-02-21T02:05:17.000Z,positif,Sampah
97,@kuroloph,"Kasian ya yg dibilang jd tukang sampah di Indonesia ini, pdhl mrk lebih pantas disbt tukang brsh2, siapa coba yg sbnrnya tkg sampah? #pahami",2014-01-16T06:05:01.000Z,positif,Sampah
98,@kis951fm,berapa lama? RT @Ovan_LP: @kisfmjakarta gantiin semua tukang sampah di Indonesia #HukumanLucu buat koruptor,2013-12-09T10:37:45.000Z,negatif,Sampah
99,@ambudaff,"--dan terbang menuju tempat sampah. Di Indonesia pasti banyak sampah bersayap menuju tempat sampah deh, secara masyarakatnya doyan nyampah..",2014-03-31T14:26:46.000Z,positif,Sampah
100,@ranisalind,Semoga bisa mengurangi permasalahan sampah di indonesia. #NextDev2016_Angkuts @netmediatama @Telkomsel,2016-11-29T07:49:02.000Z,negatif,Sampah
101,@promkes_net,"#PeduliSampah 

Angka pendaurulangan sampah di Indonesia termasuk rendah lho..yakni di bawah 50 persen. :(",2014-02-21T23:31:03.000Z,negatif,Sampah
102,@maulnisa,"temen sejati itu kayak berlian, berharga dan jarang. tapi temen palsu itu kayak sampah di indonesia, di mana mana ada -,-",2014-10-28T14:45:18.000Z,positif,Sampah
103,@OdeMucha,unpopular opinion: tong sampah di Indonesia adalah privilege,2019-10-12T03:20:05.000Z,positif,Sampah
104,@uc_wulandari,"Usaha ngolah sampah di Indonesia. Biar Indonesia ga dsb 'lautan sampah' lg!""@Tanyanesian: #RemajaaIndonesia Pengen punya usaha? Usaha apa ?""",2014-04-26T13:30:13.000Z,positif,Sampah
105,@harist881,"Gerinjing ngapain di pilih prababi ga mutu""@PIRMANSR_: makanya pilih prabowo biar ntar acara2 sampah di indonesia di karungin semua""",2014-04-05T16:45:12.000Z,positif,Sampah
106,@dannyherdian,Org luar aja peduli sama sampah di indonesia @KompasTV Now!,2014-02-10T01:55:40.000Z,positif,Sampah
107,@bimandrianto,Di luar negri fast food adalah makanan sampah. Di indonesia fast foot adalah makanan enak. Jadi kesimpulannya makanan sampah yang enak.,2014-01-28T13:05:23.000Z,positif,Sampah
108,@dedepikacuuu,"Munculnya kemasan galon sekali pakai ini menjadi mengkhawatirkan bagi penyelesaiaan masalah sampah di Indonesia 
#tolakgalonsekalipakai",2021-12-16T15:44:18.000Z,negatif,Sampah
109,@aserabtlu,"Salam Mahasura Muda! 

Kalian tau nggak sih? Kalau kesadaran membuang sampah di Indonesia itu masih sangat rendah? Bahkan walaupun sudah disediakan tempat sampah, entah kenapa beberapa orang tetap membuang sampah sembarangan. Padahal kita semua tau dampak yang akan terjadi.",2020-09-20T14:23:45.000Z,positif,Sampah
110,@aamhds991_,"klu kira"" gua nyampah. kotak sampah di indonesia dan didunia banyak. jangan ragu"" buang lah sampah pada tempatnya.",2014-06-07T20:40:38.000Z,positif,Sampah
111,@ThinkerNir,"Rame nih pada #TolakRUUPermusikan

Yha abis ngapain pemerintah (sok) sibuk ngurus yg gini2. Urus aja dah itu persoalan yg emang substansial.

Mending kalian tuh sibuk mikirin sistem pengolahan sampah di Indonesia, atau apa gitu.
Yang beneran ESENSIAL gitu loh! Gw nangis nih! ",2019-02-03T22:51:35.000Z,negatif,Kebijakan Pemerintah
112,@RadioElshinta,1) Hari ini kita memperingati hari peduli sampah nasional. Persoalan sampah di Indonesia msh menjadi pekerjaan rumah yg blm dpt dituntaskan.,2016-02-21T13:29:02.000Z,negatif,Sampah
113,@maudyezd,Jadi ada 1 kuli sampah di Inggris disuruh melakukan pekerjaan kuli sampah di Indonesia dan dia ngeluh katanya banyak banget kerjaannya,2013-09-05T10:35:34.000Z,negatif,Sampah
114,@YanniPramono,"Gile cing, memgimpor sampah? Apa masih kurang sampah di Indonesia??
Nyampah

#RakyatDorongMKJurdil
#RakyatDorongMKJurdil",2019-06-23T13:21:44.000Z,positif,Sampah
115,@hello_fika,banyak yang belum tahu kan? kalau ada pembangkit listrik tenaga sampah di Indonesia #HUT41BPPT #BPPTSolidSmartSpeed @BPPT_RI,2019-08-21T04:28:02.000Z,positif,Sampah
116,@aswagmda,persetan dgn tugas2 yang seperti sampah di indonesia (read: menumpuk) huhuhu,2020-01-19T08:20:05.000Z,positif,Sampah
117,@Suara_Sidoarjo,#IndonesiaBebasSampah Apa pendapat anda mengenai permasalahan sampah di Indonesia dan beberapa kebijakan yang diterapkan pemerintah?,2016-02-22T00:19:09.000Z,negatif,Kebijakan Pemerintah
118,@rulian08,"Ga ngefek kataanya min ""@YukBSPT: Dari sekian banyak tokoh yg bertarung di #pemilu tdk terdenga... #Sampah di #Indonesia gawat! #YukBSPT""",2014-03-21T00:25:59.000Z,positif,Sampah
119,@KenjiIst,"Coba dihukum mati aja itu min biar cpt habis sampah di indonesia RT @detikcom: Gaji Akil Jadi Ketua MK Rp 30-40 Juta Sebulan, Mengapa Masih",2013-10-03T05:23:14.000Z,positif,Sampah
120,@aambong,Setiap februari mengelola data inisiatif pengumpulan dan pengelolaan sampah di Indonesia. Mungkin karena ini aku masih di sini  ,2021-02-09T03:31:01.000Z,negatif,Pengelolaan Sampah
121,@932FM,"Plis ya, jangan buang sampah sembarangan karena sampah di Indonesia baru berkurang 7 Persen. Lengkapnya di siaran #LosBanditos sekarang.",2014-02-20T12:12:49.000Z,negatif,Sampah
122,@rinantipuri,"#akuselo

'Cuma sendok plastik'. Mbok ayo, lha wong makin banyak sampah plastik. Sama2 kurangin sebisa kita.

'Pembalut bekas ga usah dicuci ~ krn ya emang 1x pakai'. Lha mbok dicuci resik. Ngeregani tukang sampah. Pengolahan limbah sampah di Indonesia itu belum bagus. Ngono lhoo",2022-02-21T15:25:44.000Z,positif,Sampah
123,@aqua_lestari,"Sahabat Lestari, Danone-AQUA juga berpartisipasi dalam pendidikan berkelanjutan untuk menanggulangi permasalahan sampah di Indonesia, lho. 

Sahabat Lestari pasti sudah tidak asing lagi ya dengan gerakan #BijakBerplastik. 
@sehatAQUA @berplastik",2020-05-12T05:59:53.000Z,positif,Sampah
124,@resi_san,"Inovasi berikutnya datang untuk menjawab permasalahan sampah di Indonesia, yaitu PLTSa Merah Putih. #HUT41BPPT
#BPPTSolidSmartSpeed
@bppt_ri",2019-08-21T04:09:55.000Z,negatif,Sampah
125,@CrastFM,"ada fakta mencengangkan nih dari sampah di Indonesia! mau tauu apa aja? dengerin terus Crast Hour bersama @tiwidianta dan @yusalls di 107,8 FM!",2018-11-29T03:45:35.000Z,positif,Sampah
126,@mrsfrommars,"Parah banget sih, sampah Kanada diekspor ke Indonesia. Impor sampah tujuannya buat dijadikan daur ulang, kayak kurang banyak aja sampah di Indonesia. Prakteknya juga ga didaur ulang tapi dibuang ke TPS. Tega banget yang ngimpor.",2022-04-23T02:25:07.000Z,negatif,Sampah
127,@budie_pinank,"Gile... Sampah pun impor, kurang byk apa lg sampah di indonesia",2019-06-16T05:43:41.000Z,positif,Sampah
128,@hermawantonny,Klo di London tulang sampah dapat rumah yang layak... eh dy kaget liat tukang sampah di Indonesia,2015-05-08T15:38:32.000Z,negatif,Sampah
129,@wandaerwan,"Di jepang udah ngomong gimana robot bisa bantu buang sampah.. Di indonesia baru ngomong ""gimana cara buang sampah?""",2015-04-28T02:42:38.000Z,positif,Sampah
130,@Listarpanjaitan,"Pemilihan tinggal 1 hari lagi  siapapun presidenya harus terima dan lapang dada jangan sampai dendam 5 tahun akut menghina Presiden.. tahu gak fitnah dan menghina Presiden sama aja sampah di Indonesia ni..
Masih mending Sampah masih bisa di Daur Ulang  #01TheChampion",2019-04-16T05:33:09.000Z,positif,Sampah
131,@parlemenmedsos,"Mulut2 sampah di Indonesia inilah yang tidak mengerti arti kebinekaan, meski sering teriak untuk bersembunyi dibalik kata kebinekaan",2017-05-16T05:30:57.000Z,negatif,Sampah
